               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063058,            0.028734,                   0,          3.2154e-05,           0.0049772,          1.6163e-05,          3.9016e-06,             0.05165,            0.037494,                   0,             0.00226,             0.00226,             0.07966
                   1,            0.055133,            0.021404,                   0,          6.6517e-05,           0.0095396,          3.1415e-05,          8.1822e-06,            0.050692,            0.037163,                   0,           0.0045231,           0.0045231,            0.059223
                   2,            0.054412,            0.020761,                   0,          3.2391e-05,          0.00041477,           1.176e-05,          2.3755e-06,            0.048606,            0.037353,                   0,           0.0067586,           0.0067586,            0.038759
                   3,            0.049742,            0.020543,                   0,            0.015415,             0.02613,           0.0028904,          0.00092171,            0.044444,            0.037728,                   0,            0.008946,            0.008946,            0.018246
                   4,            0.045365,            0.019108,                   0,            0.036808,            0.054749,             0.01261,            0.006017,             0.04655,            0.036942,                   0,           0.0097577,           0.0097577,           0.0097577
                   5,            0.041535,            0.017695,                   0,              0.4465,             0.25294,             0.24663,             0.11076,            0.035301,            0.028136,                   0,           0.0097577,           0.0097577,           0.0097577
                   6,             0.03944,             0.01664,                   0,             0.31255,               0.219,             0.19436,            0.081338,             0.03519,            0.029287,                   0,           0.0096232,           0.0096232,           0.0096232
                   7,            0.036576,            0.015331,                   0,              0.4919,             0.25218,             0.25932,             0.10396,             0.03235,             0.02857,                   0,           0.0094605,           0.0094605,           0.0094605
                   8,             0.03518,            0.014728,                   0,             0.66962,             0.38502,              0.4531,              0.2055,            0.031212,            0.023362,                   0,           0.0092706,           0.0092706,           0.0092706
                   9,             0.03378,            0.013887,                   0,             0.69264,             0.48884,             0.55233,             0.25599,            0.028342,            0.021543,                   0,           0.0090546,           0.0090546,           0.0090546
                  10,            0.032047,             0.01317,                   0,             0.72742,             0.48482,                0.56,             0.27243,            0.028314,            0.021653,                   0,            0.008814,            0.008814,            0.008814
                  11,            0.031718,            0.012579,                   0,             0.75877,             0.48113,             0.57926,             0.26821,            0.029146,            0.022192,                   0,           0.0085502,           0.0085502,           0.0085502
                  12,            0.029503,            0.011884,                   0,             0.71754,             0.50258,               0.573,             0.27568,            0.027668,            0.021345,                   0,           0.0082648,           0.0082648,           0.0082648
                  13,            0.028852,            0.011681,                   0,                0.85,             0.55939,             0.67245,             0.33873,            0.026142,            0.018851,                   0,           0.0079595,           0.0079595,           0.0079595
                  14,             0.02907,            0.011172,                   0,             0.81546,             0.66363,             0.74025,             0.37325,             0.02685,            0.018031,                   0,           0.0076364,           0.0076364,           0.0076364
                  15,            0.028525,            0.010822,                   0,             0.80838,             0.62293,             0.72344,             0.37213,             0.02492,            0.017147,                   0,           0.0072973,           0.0072973,           0.0072973
                  16,            0.027926,            0.010435,                   0,             0.84193,             0.67731,             0.77469,             0.40615,            0.024773,            0.016764,                   0,           0.0069443,           0.0069443,           0.0069443
                  17,            0.027215,           0.0099993,                   0,             0.85113,             0.69847,              0.7867,             0.41861,             0.02447,            0.015569,                   0,           0.0065796,           0.0065796,           0.0065796
                  18,            0.026513,           0.0098375,                   0,              0.8764,             0.73414,             0.83415,             0.44968,            0.022988,            0.014878,                   0,           0.0062056,           0.0062056,           0.0062056
                  19,            0.025731,           0.0093405,                   0,             0.87163,             0.72501,             0.82378,             0.43758,            0.023786,            0.015496,                   0,           0.0058244,           0.0058244,           0.0058244
                  20,            0.025342,           0.0090643,                   0,             0.90366,             0.74367,              0.8513,             0.45501,            0.023018,            0.014267,                   0,           0.0054384,           0.0054384,           0.0054384
                  21,            0.024619,           0.0088584,                   0,             0.91274,             0.78764,             0.88173,             0.48117,            0.021422,            0.013523,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.024449,           0.0087447,                   0,             0.86064,             0.80172,              0.8767,             0.47801,            0.022125,            0.013783,                   0,           0.0046616,           0.0046616,           0.0046616
                  23,             0.02452,            0.008437,                   0,             0.89628,             0.82829,             0.90456,             0.50895,            0.021447,            0.012768,                   0,           0.0042756,           0.0042756,           0.0042756
                  24,            0.023585,           0.0084457,                   0,             0.92175,             0.79925,             0.89587,             0.50114,            0.021073,            0.012993,                   0,           0.0038944,           0.0038944,           0.0038944
                  25,            0.023092,           0.0079816,                   0,              0.9134,             0.82241,             0.90449,             0.50389,             0.02117,            0.012654,                   0,           0.0035204,           0.0035204,           0.0035204
                  26,             0.02244,           0.0079609,                   0,             0.92989,             0.84723,             0.92257,             0.51721,            0.020943,            0.012125,                   0,           0.0031557,           0.0031557,           0.0031557
                  27,            0.021991,           0.0077525,                   0,             0.90849,             0.85732,             0.92359,             0.52119,            0.020593,            0.012029,                   0,           0.0028027,           0.0028027,           0.0028027
                  28,             0.02194,           0.0076407,                   0,             0.92365,             0.85981,              0.9267,             0.53238,            0.020248,            0.011879,                   0,           0.0024636,           0.0024636,           0.0024636
                  29,            0.021569,           0.0075197,                   0,             0.92807,             0.87761,             0.93737,             0.54035,            0.020316,            0.011639,                   0,           0.0021405,           0.0021405,           0.0021405
                  30,            0.020914,           0.0073874,                   0,             0.92498,              0.8643,             0.93387,             0.54137,            0.019661,            0.011816,                   0,           0.0018352,           0.0018352,           0.0018352
                  31,            0.020912,           0.0071949,                   0,             0.93478,             0.88801,             0.94801,             0.55263,            0.019148,            0.011176,                   0,           0.0015498,           0.0015498,           0.0015498
                  32,            0.020204,           0.0070793,                   0,             0.94788,             0.86754,             0.94303,             0.55343,            0.019267,            0.011334,                   0,            0.001286,            0.001286,            0.001286
                  33,            0.020265,           0.0070136,                   0,             0.94914,             0.87465,             0.94803,             0.55898,            0.019119,            0.011148,                   0,           0.0010454,           0.0010454,           0.0010454
                  34,            0.020089,           0.0070303,                   0,             0.93226,             0.89049,             0.94771,              0.5572,            0.018829,            0.011074,                   0,          0.00082943,          0.00082943,          0.00082943
                  35,            0.019888,            0.006814,                   0,             0.94727,             0.89548,             0.95572,              0.5656,            0.018645,            0.010893,                   0,          0.00063952,          0.00063952,          0.00063952
                  36,            0.019604,           0.0069808,                   0,             0.94695,             0.88835,              0.9509,             0.56217,            0.018745,            0.011049,                   0,           0.0004768,           0.0004768,           0.0004768
                  37,            0.019533,           0.0067776,                   0,             0.94873,              0.9057,             0.95762,              0.5715,            0.018504,            0.010739,                   0,          0.00034227,          0.00034227,          0.00034227
                  38,            0.019509,           0.0068607,                   0,             0.94333,             0.90452,             0.95592,             0.57481,            0.018384,            0.010728,                   0,          0.00023677,          0.00023677,          0.00023677
                  39,            0.019284,           0.0066439,                   0,             0.94761,             0.90046,             0.95642,             0.57204,            0.018226,            0.010712,                   0,          0.00016094,          0.00016094,          0.00016094
